0	76	89	80	72	82	89	78	86	83	85	85	100	77	80	74	81	77	91	348	347	362	391	361	381	345	329	335	315
1	122	105	124	111	116	103	117	112	110	119	120	116	137	96	105	86	122	102	347	324	336	337	183	359	320	309	308	311
2	122	148	138	143	140	141	118	156	133	135	146	141	142	144	128	120	67	140	353	304	328	320	219	333	323	297	291	334
3	157	144	172	171	159	157	174	133	183	153	151	170	169	152	159	143	148	50	359	296	320	311	242	324	316	314	285	348
4	44	174	156	187	183	173	175	197	158	203	172	189	195	177	176	171	164	166	374	313	337	291	265	309	324	298	300	354
5	193	52	187	180	206	213	190	196	225	177	213	190	220	207	198	181	194	187	377	308	336	279	266	311	320	298	298	382
6	206	197	53	208	199	220	232	213	224	233	180	231	227	220	232	219	204	201	392	316	319	267	302	317	317	303	313	384
7	218	206	218	57	218	213	238	251	244	231	225	197	247	222	231	239	242	222	399	311	332	277	325	318	329	337	317	395
8	240	217	219	244	54	231	232	265	286	253	248	234	230	239	242	243	267	260	387	305	337	281	331	315	349	346	328	394
9	283	260	233	245	249	74	254	255	298	294	253	262	240	228	246	251	268	279	382	320	345	284	328	349	346	351	315	402
10	289	300	266	254	255	273	71	278	285	296	300	259	272	236	241	250	267	273	412	338	340	278	354	355	359	356	341	402
11	283	300	300	268	266	269	284	69	283	283	300	300	272	275	249	262	274	284	431	376	334	309	347	367	357	369	367	420
12	297	279	300	300	271	276	289	292	81	283	299	300	300	283	291	255	274	284	451	376	363	306	349	372	367	391	390	444
13	298	292	287	300	300	292	297	300	292	82	280	299	300	300	292	294	274	275	444	418	386	317	351	391	389	385	406	453
14	280	299	297	300	300	300	300	300	300	293	68	285	300	300	300	297	300	276	471	408	417	316	393	385	405	404	423	467
15	277	282	299	300	300	300	300	300	300	295	294	64	289	300	300	300	300	300	475	454	400	337	404	413	415	426	449	481
16	300	279	283	299	300	300	300	300	300	300	300	294	56	286	300	300	300	300	497	445	445	316	421	434	437	424	466	497
17	300	300	278	285	299	300	300	300	300	300	300	300	297	64	287	300	300	300	494	479	441	321	419	448	453	453	460	508
18	300	300	300	281	285	299	300	300	300	300	300	300	300	298	57	288	300	300	514	468	459	323	440	446	473	469	480	496
19	300	300	300	300	281	287	300	300	300	300	300	300	300	300	298	55	288	300	514	484	463	332	449	474	471	486	468	515
20	300	300	300	300	300	283	288	300	300	300	300	300	300	297	300	298	49	286	518	492	480	333	474	484	497	460	493	523
21	287	300	300	300	300	300	284	289	300	300	300	300	300	300	300	300	298	55	530	495	486	346	477	507	479	491	486	533
22	75	285	300	300	300	300	300	284	289	300	300	300	300	300	300	300	300	298	529	515	495	190	498	479	510	495	517	518
23	298	94	267	300	300	300	300	300	280	291	300	300	300	300	300	300	300	300	535	524	517	133	470	507	505	523	500	539
24	300	299	118	254	300	300	300	300	300	259	292	300	300	300	300	300	300	300	541	536	514	116	481	505	531	497	537	531
25	300	300	299	136	243	300	300	300	300	300	238	292	300	300	300	300	300	300	545	541	495	133	493	514	508	532	518	545
